network,station,channel,lon,lat,distance,pga
IA,BGCM,SHE,119.880075,-0.049644,15.426314152864075,0.815033117554854
IA,MPSI,SHE,119.898,0.3374,38.31109178871859,0.173138938288121
IA,SDCI,SHE,119.768722,-0.494155,56.860620387278786,0.1634723531765488
IA,DOCM,SHE,119.74873,-0.675868,76.95536156405446,0.06831130316396353
IA,PICM,SHE,120.088757,-0.710997,88.72816519032231,0.07140824349767948
IA,TIPSI,SHE,120.419,0.489,89.83807361052722,0.08895458308048945
IA,BDCM,SHE,119.586757,-0.872636,100.5689300099288,0.12722413560601378
IA,SBSSI,SHE,119.889,-1.206,136.32261205876506,0.059551521764470296
IA,SAPSI,SHE,120.464,-1.0,137.33802795662686,0.021622248977715097
IA,TPCI,SHE,121.099286,0.467467,157.08283382665198,0.09724367295352618
IA,TOLI2,SHE,120.78174,1.11119,165.8111300551954,0.02263871582523609
IA,POCI,SHE,120.656954,-1.420317,187.96862901829684,0.03108360470516471
IA,LOCM,SHE,120.1825,-1.6502,190.57484252522573,0.04199080138889445
IA,TOTSI,SHE,121.28416,-1.15292,213.55200688740376,0.008915982291961519
IA,PUPSI,SHE,120.676,-1.733,219.0145846268558,0.022798487802319224
IA,BUKI,SHE,118.07,1.25,232.13141732586888,0.017846108706914145
